<<<<<<< Updated upstream
Username,Password,First Name,Last Name,Phone Number,Email Address,Date of Birth,Home Address,Gender,SecurityQ1,SecurityQ2,SecurityQ3
user1@guest.com,1234,na,na,na,na,na,na,na,food,name,sport
user2@doctor.com,1234,na,na,na,na,na,na,na,food,name,sport
user3@front.com,1234,na,na,na,na,na,na,na,food,name,sportuser3@front.com,null,na,na,na,na,na,na,na,food,name,sport
=======
Username,Password,First Name,Last Name,Phone Number,Email Address,Date of Birth,Home Address,Gender,SecurityQ1,SecurityQ2,SecurityQ3
user1@guest.com,1234,na,na,na,na,na,na,na,food,name,sport
user2@doctor.com,1234,na,na,na,na,na,na,na,food,name,sport
user3@front.com,1234,na,na,na,na,na,na,na,food,name,sport
user1@guest.com,shadjas,na,na,na,na,na,na,na,food,name,sport
user1@guest.com,namsada,na,na,na,na,na,na,na,food,name,sport
user3@front.com,handsomeboizzz,na,na,na,na,na,na,na,food,name,sport
>>>>>>> Stashed changes
